[ 1/92] _homepage                                                  D:304193 M:304193 diff=True
[25/92] dermal-fillers-treatment-bangalore                         D:307013 M:307013 diff=True
[26/92] dr-chandhana-vishal-n-plastic-surgeon                      D:208029 M:208029 diff=True
[27/92] dr-sumedha-tirthani-dermatologist                          D:219921 M:219921 diff=True
[28/92] dr-thyagaraj-best-plastic-surgeon-in-bangalore             D:231157 M:231157 diff=True
[29/92] ear-lobe-repair-surgery-in-bangalore                       D:285207 M:285207 diff=True
[30/92] earlobe-repair-surgery-bengaluru                           D:242602 M:242602 diff=True
[31/92] fractional-co2-laser-skin-resurfacing-in-bangalore         D:272736 M:272736 diff=True
[32/92] gfc-hair-treatment-in-bangalore                            D:278998 M:278998 diff=True
[33/92] gynecomastia-surgery-bengaluru                             D:248322 M:248322 diff=True
[34/92] gynecomastia-surgery-in-bangalore                          D:266726 M:266726 diff=True
[35/92] hair-analysis-in-bangalore                                 D:279973 M:279973 diff=True
[36/92] hair-transplant-in-bangalore-marathahalli-whitefield       D:277093 M:277093 diff=True
[37/92] hifu-a-non-surgical-facelift                               D:232094 M:232094 diff=True
[38/92] hifu-treatment-in-bangalore                                D:278165 M:278165 diff=True
[39/92] hollywood-facial-carbon-laser-peel-bangalore               D:280911 M:280911 diff=True
[40/92] how-can-you-treat-stubborn-pigmentation-and-achieve-cleare D:230174 M:230174 diff=True
[41/92] how-dermatologists-treat-acne-scars                        D:230699 M:230122 diff=True
[42/92] how-long-do-dermal-fillers-last                            D:233394 M:233394 diff=True
[43/92] how-to-prepare-skin-for-wedding                            D:248290 M:247644 diff=True
[44/92] hydrafacial-vs-chemical-peel                               D:242227 M:242227 diff=True
[45/92] image-gallery                                              D:194049 M:194049 diff=True
[46/92] inch-reduction-treatment-in-bangalore                      D:196767 M:196767 diff=True
[47/92] iv-glutathione-treatment-in-bangalore                      D:327963 M:327963 diff=True
[48/92] iv-glutathione-treatment                                   D:284806 M:284806 diff=True
[49/92] laser-hair-removal-in-bangalore                            D:303735 M:303735 diff=True
[50/92] laser-tattoo-removal-in-bangalore                          D:301452 M:301452 diff=True
[51/92] laser-toning-for-pigmentation                              D:247598 M:247598 diff=True
[52/92] laser-toning-treatment-in-bangalore                        D:317020 M:317020 diff=True
[53/92] liposuction-treatment-in-bangalore                         D:270087 M:270087 diff=True
[54/92] maintenance-page                                           D:180544 M:180544 diff=True
[55/92] medical-facial-vs-salon-facial                             D:229524 M:229524 diff=True
[56/92] microdermabrasion-treatment-in-bangalore                   D:269834 M:269834 diff=True
[57/92] mnrf-treatment-in-bangalore-microneedling-with-radio-frequ D:284812 M:284812 diff=True
[58/92] mnrf-vs-co2-laser-for-acne-scars                           D:239217 M:239217 diff=True
[59/92] mole-removal-treatment-in-bangalore                        D:288874 M:288874 diff=True
[60/92] nad-iv-drips-treatment-in-bangalore                        D:285753 M:285753 diff=True
[61/92] pdrn-salmon-dna-facial-benefits                            D:242300 M:242300 diff=True
[62/92] phototherapy-for-skin-conditions                           D:238946 M:238946 diff=True
[63/92] phototherapy-treatment-in-bangalore                        D:275853 M:275853 diff=True
[64/92] privacy-policy                                             D:194049 M:194049 diff=True
[65/92] radio-frequency-skin-tightening-treatment                  D:292503 M:292503 diff=True
[66/92] reconstructive-surgery-restoring-form-function-confidence  D:232044 M:232044 diff=True
[67/92] rf-vs-hifu-skin-tightening                                 D:249077 M:248429 diff=True
[68/92] rhinoplasty-nose-reshaping-surgery-bangalore               D:227372 M:227372 diff=True
[69/92] rhinoplasty-surgery-in-bangalore                           D:270032 M:270032 diff=True
[70/92] salmon-sperm-pdrn-facial-in-bangalore                      D:281531 M:281531 diff=True
[71/92] skin-boosters-treatment-bengaluru                          D:245933 M:245933 diff=True
[72/92] skin-boosters-treatment-in-bangalore                       D:274239 M:274239 diff=True
[73/92] skin-boosters-vs-dermal-fillers                            D:241491 M:241491 diff=True
[74/92] skin-lightening-treatment-in-bangalore                     D:275578 M:275578 diff=True
[75/92] skin-tightening-treatment-in-marathahalli-whitefield       D:277788 M:277788 diff=True
[76/92] terms-of-use                                               D:185992 M:185992 diff=True
[77/92] thread-lift-vs-fillers-how-to-choose-the-right-treatment   D:251151 M:251151 diff=True
[78/92] thread-lifts                                               D:281966 M:281966 diff=True
[79/92] vaser-liposuction-complete-guide                           D:230740 M:230740 diff=True
[80/92] video-gallery                                              D:202531 M:202531 diff=True
[81/92] vitiligo-laser-treatment-in-bangalore                      D:270709 M:270709 diff=True
[82/92] vitiligo-repigmentation-treatment                          D:226602 M:226602 diff=True
[83/92] warts-removal-treatment-in-bangalore                       D:280731 M:280731 diff=True
[84/92] weight-loss-injections-bangalore                           D:233116 M:233116 diff=True
[85/92] weight-loss-injections-in-bangalore                        D:278119 M:278119 diff=True
[86/92] weight-loss-treatment-in-marathahalli                      D:200395 M:200395 diff=True
[87/92] what-is-preventive-botox-why-more-people-in-their-20s-and- D:246727 M:246727 diff=True
[88/92] what-to-ask-before-cosmetic-surgery                        D:243603 M:243603 diff=True
[89/92] when-should-you-start-anti-ageing-treatments-in-bengaluru  D:265265 M:265265 diff=True
[90/92] why-daily-sunscreen-is-your-best-skin-investment           D:202223 M:202223 diff=True
[91/92] xanthelasma-removal-bengaluru                              D:251498 M:251498 diff=True
[92/92] xanthelasma-removal-treatment-in-bangalore                 D:278354 M:278354 diff=True

DONE. clean_both=92/92  ua_differs=91
